2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,8410,8411,8700,8701,8702,8701,8702,8703,8704,8701,8702,8703,8704,8701,8702,8703,8704,8400,8401,8402,8403,8523,8523,8523,8523,8523,8523,2003,2002,2003
2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,8510,8511,8800,8801,8802,8801,8802,8803,8804,8801,8802,8803,8804,8801,8802,8803,8804,8500,8501,8502,8503,8504,8521,8522,8523,8523,8523,8523,8523,8523
2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,8610,8611,8900,8901,8902,8901,8902,8903,8904,8901,8902,8903,8904,8901,8902,8903,8904,8600,8601,8602,8603,8604,8621,8622,8623,8523,8523,8523,8523,8523
2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,9000,9001,9002,9001,9002,9003,9004,9001,9002,9003,9004,9001,9002,9003,9004,8700,8701,8702,8703,8704,8721,8722,8723,8523,8523,8201,8202,8203
2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,8800,8801,8802,8803,8804,8310,8311,8110,8111,8522,8301,8302,8303
2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,8900,8901,8902,8903,8904,8410,8411,8210,8211,8401,8401,8402,8403
2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,9000,9001,9002,9003,9004,8510,8511,8310,8311,8500,8501,8502,8503
2102,2103,2102,2103,2102,2103,2002,2103,2102,2103,2103,2102,2002,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,8610,8123,8610,8611,8410,8411,8600,8601,8602,8603
2002,2003,2002,2003,2002,2002,2003,2002,2003,2002,2002,2003,2002,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2002,8123,8123,8123,8510,8511,8700,8701,8702,8703
2102,2103,2102,2103,2102,2102,2102,2103,2102,2103,2102,2002,2003,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,2102,2103,8123,8123,8123,8610,8611,8800,8801,8802,8803
